feature,flagged_mean,normal_mean,std_gap
TransactionAmount,877.5965789473684,272.9756513409962,1.9386279997594544
Amount_Dev_Hour,2.180214042765692,-0.06650529109781553,1.9348616758703345
Amount_Dev_USState,2.1236791119642753,-0.07539789899119455,1.920540410864502
Amount_Dev_MerchantID,2.716541319657517,-0.05088778547337439,1.8744637085279174
Amount_To_Balance_Ratio,1.2644987963731085,0.12673247820178823,1.8281322446650612
Is_Weekend,0.34210526315789475,0.038314176245210725,1.2900328727572974
Log_Transaction_Amount,6.350630661238098,5.073390282698724,1.0015408425238483
Amount_Dev_Account,4.940698795405197,0.5920478476775304,0.9870310200147716
CustomerOccupation_Student,0.5789473684210527,0.22796934865900384,0.808632846902234
Is_Night,0.23684210526315788,0.04980842911877394,0.7726702004129604
LoginAttempts,1.4473684210526316,1.0670498084291187,0.7521655084940383
Hour,12.578947368421053,15.5727969348659,-0.7419295509880093
Log_Account_Balance,7.476305794407541,8.197447481449089,-0.6838261403572072
USState_Connecticut,0.05263157894736842,0.0038314176245210726,0.5794845924089012
USState_Maine,0.05263157894736842,0.0038314176245210726,0.5794845924089012
