seed,threshold,n_flagged,flagged_rate,score_mean,score_std
42,0.7104945530387144,38,0.06785714285714285,0.4228697110879087,0.15916625778049562
43,0.7019352438773746,28,0.05,0.3818673207444802,0.15258515266973705
44,0.6739995303882559,29,0.05178571428571429,0.38180998105090136,0.148923134035898
45,0.7618823295972712,33,0.05892857142857143,0.4463785154946591,0.1630080505374352
46,0.6961883894861803,34,0.060714285714285714,0.40306422713125445,0.15689131183264843
47,0.7741733406258411,29,0.05178571428571429,0.4424167949380733,0.16131200160824202
48,0.7208297503301527,26,0.04642857142857143,0.3906784089087644,0.15650588510024885
49,0.7439024206326438,31,0.055357142857142855,0.4372288361053699,0.1567628490022474
50,0.7778431886185274,28,0.05,0.4549690138965151,0.15898959094682621
51,0.7516514284140217,34,0.060714285714285714,0.4354632098929854,0.16105674451900437
